lemma,n
give,3914
show,748
tell,660
bring,470
read,454
take,395
throw,303
send,130
make,120
hand,91
ask,90
feed,84
say,78
teach,74
roll,73
find,55
carry,31
push,30
leave,24
sing,24
offer,23
pay,22
explain,20
write,18
sell,16
drive,14
introduce,14
pass,13
serve,12
call,11
mail,10
pull,10
lend,9
want,8
deliver,7
owe,7
wish,6
bounce,5
cost,5
return,5
save,5
trade,5
describe,4
hit,4
kick,3
whisper,3
charge,2
drop,2
fly,2
haul,2
lift,2
loan,2
mention,2
rent,2
shoot,2
tow,2
address,1
announce,1
assign,1
bat,1
bet,1
drag,1
flip,1
guarantee,1
promise,1
sign,1
slam,1
slip,1
snap,1
